,ID,Title,url_ima,Price,ori_price,rating,num_reviews,Country,sellerID,sellerName,brand_id,brand_name,num_sold
0,2438433475,Bóng hồng Trong Kho 3D Phim Hoạt Hình Đầu Loạt In Ấn Các Cặp Vợ Chồng Áo phông ngắn tay,https://sg-test-11.slatic.net/p/aab94ec35f5c73c01036d8e6aff2f652.jpg,99319.0,160000.0,0.0,0.0,China,200158185060,Kuulee Official Store,121033079,Kuulee,0
1,1668377561,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,https://filebroker-cdn.lazada.vn/kf/Sa68565d2c36e41258e4854b67c855852Y.jpg,84000.0,99000.0,4.933439405993106,3771.0,Hồ Chí Minh,1000288791,Coolmate,40263,coolmate,24700
2,2657249614,Áo thun nam lụa lạnh mùa hè quần áo nhanh khô áo thun nam tay ngắn thoải mái thường ngày,https://sg-test-11.slatic.net/p/21912340acad424e8ee79669c020b102.jpg,49000.0,120000.0,5.0,44.0,South Korea,200163927214,AGOWIL,110002595,SABUY,135
3,2322382472,Áo thun nam trơn cổ tròn form basic thời trang Everest Nhiều Màu,https://vn-live-01.slatic.net/p/4c3e74884f08d395efe9d9e5c63c6221.png,39100.0,79100.0,4.920651068158698,983.0,Hồ Chí Minh,200397200629,EVEREST FASHION MALL,16032,Everest,4800
4,2160839433,"Áo phông tay kẻ fom thụng   Chất cotton ,ln.",https://vn-live-01.slatic.net/p/e4e01f94a4f0d1d66361304de415322c.jpg,49000.0,109000.0,4.6875,32.0,Hà Nội,200174193189,Thoi trang 339,65074,No Brand,106
5,265966374,Combo 2 áo thun trơn trắng đen cotton vải dày mịn,https://vn-live-01.slatic.net/p/4beec775d429fba530833ad72d8ddcb6.jpg,39000.0,39000.0,4.795145273997793,2719.0,Đồng Nai,100008568,DEAL GIÁ SỐC,65074,No Brand,13300
6,1313880627,Áo Thun Nam Tay Lỡ Loang Màu In Họa Tiết Hoạt Hình Ngộ Nghĩnh Dáng Basic Hot Trend 2024 4MENHCM AO TOP NAM 90000182C,https://vn-live-01.slatic.net/p/72b45ec6e0d16d327d3cad1303ccb0f4.jpg,14620.0,109000.0,4.655172413793103,29.0,Hà Nội,100227049,fashion4menhcm,18094,OEM,58
7,1558082543,"Áo Thun Nam Thể Thao Cổ Tròn Tay Ngắn [có Size 40-100 kg]  Chất Thun Lạnh Co Giản 4 Chiều , Mềm Mại Mịn Màng Không Đổ Lông , Phai Màu Phù Hợp Với Mọi Lứa Tuổi 🔸Tannguyen shop🔸",https://vn-live-01.slatic.net/p/916a98ab923c6491ae604d9ea6ab8327.jpg,35000.0,65000.0,4.833078101071975,653.0,Hồ Chí Minh,200168079211,TANNGUYEN shop,18094,OEM,2700
8,1270928877,Áo thun nam cổ tròn hàng xuất khẩu form rộng thời trang BUBU-áo thun basic cotton xược mịn mát,https://vn-live-01.slatic.net/p/e37c9532b4a9f6971967e2c1f5ed8827.jpg,18100.0,38000.0,4.267716535433071,127.0,Hồ Chí Minh,100188620,BX2 Brand,65074,No Brand,668
9,1495412800,Áo thun unisex nam nữ form rộng tay lỡ chữ SOUL đẹp vải dày mịn,https://vn-live-01.slatic.net/p/e143535ad3b889076df918c5bc8484f2.jpg,29900.0,69900.0,4.864712514092447,887.0,Đồng Nai,1000294521,Ao thun N A sỉ giá lẻ,65074,No Brand,4500
